Date	Aircraft	Origin	Destination	Departure	Arrival	Duration
06/20/15	B752/Z	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	Philadelphia Intl (KPHL)	11:07AM WEST	01:34PM EDT	07:26:00 AM
06/19/15	B752/Z	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	Philadelphia Intl (KPHL)	10:56AM WEST	01:31PM EDT	07:34:00 AM
06/18/15	B752/Z	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	Philadelphia Intl (KPHL)	11:09AM WEST	01:43PM EDT	07:33:00 AM
06/17/15	B752/Z	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	Philadelphia Intl (KPHL)	03:35PM WEST	05:53PM EDT	07:17:00 AM
06/15/15	B752/Q	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	Philadelphia Intl (KPHL)	11:00AM WEST	01:31PM EDT	07:31:00 AM
06/14/15	B752	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	Philadelphia Intl (KPHL)	11:28AM WEST	01:57PM EDT	07:29:00 AM
06/13/15	B752/Z	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	Philadelphia Intl (KPHL)	10:59AM WEST	01:20PM EDT	07:20:00 AM
06/12/15	B752/Z	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	Philadelphia Intl (KPHL)	10:59AM WEST	01:15PM EDT	07:16:00 AM
06/11/15	B752/Z	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	Philadelphia Intl (KPHL)	11:23AM WEST	01:40PM EDT	07:16:00 AM
06/10/15	B752/Z	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	Philadelphia Intl (KPHL)	11:12AM WEST	01:15PM EDT	06:57:00 AM
06/09/15	B752	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	Philadelphia Intl (KPHL)	11:01AM WEST	01:12PM EDT	07:10:00 AM
06/08/15	B752/Z	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	Philadelphia Intl (KPHL)	11:06AM WEST	01:32PM EDT	07:25:00 AM
06/07/15	B752/Z	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	Philadelphia Intl (KPHL)	11:06AM WEST	01:17PM EDT	07:11:00 AM
06/06/15	B752/Z	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	Philadelphia Intl (KPHL)	11:02AM WEST	01:32PM EDT	07:30:00 AM
06/05/15	B752/Z	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	Philadelphia Intl (KPHL)	01:09PM WEST	03:52PM EDT	07:42:00 AM
06/04/15	B752/Z	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	Philadelphia Intl (KPHL)	11:04AM WEST	01:51PM EDT	07:46:00 AM
06/03/15	B752/Z	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	Philadelphia Intl (KPHL)	11:38AM WEST	02:00PM EDT	07:22:00 AM
06/02/15	B752/Z	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	Philadelphia Intl (KPHL)	12:08PM WEST	02:18PM EDT	07:10:00 AM
06/01/15	B752/Z	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	Philadelphia Intl (KPHL)	11:04AM WEST	01:09PM EDT	07:05:00 AM
05/31/15	B752/Z	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	Philadelphia Intl (KPHL)	11:33AM WEST	01:33PM EDT	06:59:00 AM
05/30/15	B752/Z	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	Philadelphia Intl (KPHL)	11:00AM WEST	01:02PM EDT	07:02:00 AM
05/29/15	B752/Z	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	Philadelphia Intl (KPHL)	11:13AM WEST	01:14PM EDT	07:01:00 AM
05/28/15	B752/Z	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	Philadelphia Intl (KPHL)	11:06AM WEST	01:20PM EDT	07:13:00 AM
05/27/15	B752/Z	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	Philadelphia Intl (KPHL)	11:10AM WEST	01:23PM EDT	07:12:00 AM
05/26/15	B752/Z	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	Philadelphia Intl (KPHL)	11:02AM WEST	01:20PM EDT	07:17:00 AM
05/25/15	B752/Z	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	Philadelphia Intl (KPHL)	12:13PM WEST	02:12PM EDT	06:59:00 AM
05/24/15	B752/Z	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	Philadelphia Intl (KPHL)	11:07AM WEST	01:23PM EDT	07:16:00 AM
05/23/15	B752/Z	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	Philadelphia Intl (KPHL)	11:02AM WEST	01:19PM EDT	07:17:00 AM
05/22/15	B752/Z	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	Philadelphia Intl (KPHL)	11:15AM WEST	01:46PM EDT	07:31:00 AM
05/21/15	B752/Z	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	Philadelphia Intl (KPHL)	12:25PM WEST	03:15PM EDT	07:50:00 AM
05/20/15	B752/Z	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	Philadelphia Intl (KPHL)	12:32PM WEST	02:51PM EDT	07:18:00 AM
05/19/15	B752/Z	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	Philadelphia Intl (KPHL)	12:59PM WEST	03:31PM EDT	07:32:00 AM
05/18/15	B752/Z	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	Philadelphia Intl (KPHL)	11:19AM WEST	01:38PM EDT	07:19:00 AM
05/17/15	B752/Z	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	Philadelphia Intl (KPHL)	11:02AM WEST	01:19PM EDT	07:17:00 AM
05/16/15	B752/Z	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	Philadelphia Intl (KPHL)	12:34PM WEST	02:39PM EDT	07:05:00 AM
05/15/15	B752/Z	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	Philadelphia Intl (KPHL)	10:58AM WEST	01:39PM EDT	07:41:00 AM
05/14/15	B752/Z	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	Philadelphia Intl (KPHL)	11:31AM WEST	01:50PM EDT	07:19:00 AM
05/13/15	B752/Z	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	Philadelphia Intl (KPHL)	11:02AM WEST	02:17PM EDT	08:15:00 AM
05/12/15	B752/Z	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	Philadelphia Intl (KPHL)	11:05AM WEST	01:57PM EDT	07:52:00 AM
05/11/15	B752/Z	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	Philadelphia Intl (KPHL)	10:59AM WEST	01:35PM EDT	07:36:00 AM
05/10/15	B752/Z	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	Philadelphia Intl (KPHL)	10:52AM WEST	01:25PM EDT	07:18:00 AM
05/09/15	B752	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	Philadelphia Intl (KPHL)	11:03AM WEST	01:26PM EDT	07:23:00 AM
05/08/15	B752	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	Philadelphia Intl (KPHL)	10:53AM WEST	01:23PM EDT	07:30:00 AM
05/07/15	B752/Z	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	Philadelphia Intl (KPHL)	11:00AM WEST	01:44PM EDT	07:44:00 AM
05/06/15	B752/Z	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	Philadelphia Intl (KPHL)	11:01AM WEST	02:07PM EDT	08:06:00 AM
05/05/15	B752	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	Philadelphia Intl (KPHL)	11:04AM WEST	01:46PM EDT	07:42:00 AM
05/04/15	B752	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	Philadelphia Intl (KPHL)	11:07AM WEST	01:26PM EDT	07:18:00 AM
05/03/15	B752	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	Philadelphia Intl (KPHL)	12:43PM WEST	03:04PM EDT	07:21:00 AM
05/02/15	B752	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	Philadelphia Intl (KPHL)	11:07AM WEST	01:30PM EDT	07:23:00 AM
05/01/15	B752	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	Philadelphia Intl (KPHL)	11:00AM WEST	01:37PM EDT	07:36:00 AM
04/30/15	B752	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	Philadelphia Intl (KPHL)	11:04AM WEST	01:38PM EDT	07:34:00 AM
04/29/15	B752	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	Philadelphia Intl (KPHL)	11:01AM WEST	01:21PM EDT	07:20:00 AM
04/28/15	B752/Z	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	Philadelphia Intl (KPHL)	10:56AM WEST	01:10PM EDT	07:14:00 AM
04/27/15	B752	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	Philadelphia Intl (KPHL)	11:40AM WEST	02:16PM EDT	07:36:00 AM
04/26/15	B752	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	Philadelphia Intl (KPHL)	10:56AM WEST	01:22PM EDT	07:08:00 AM
04/25/15	B752	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	Philadelphia Intl (KPHL)	11:01AM WEST	01:14PM EDT	07:13:00 AM
04/24/15	B752	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	Philadelphia Intl (KPHL)	11:02AM WEST	01:20PM EDT	07:17:00 AM
04/23/15	B752	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	Philadelphia Intl (KPHL)	10:48AM WEST	01:18PM EDT	07:29:00 AM
04/22/15	B752	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	Philadelphia Intl (KPHL)	10:52AM WEST	01:24PM EDT	07:31:00 AM
04/21/15	B752	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	Philadelphia Intl (KPHL)	11:12AM WEST	01:44PM EDT	07:32:00 AM
04/20/15	B752/Z	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	Philadelphia Intl (KPHL)	11:04AM WEST	01:37PM EDT	07:32:00 AM
04/19/15	B752	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	Philadelphia Intl (KPHL)	11:07AM WEST	01:25PM EDT	07:17:00 AM
04/18/15	B752/Z	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	Philadelphia Intl (KPHL)	11:00AM WEST	01:51PM EDT	07:51:00 AM
04/17/15	B752	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	Philadelphia Intl (KPHL)	11:14AM WEST	01:45PM EDT	07:30:00 AM
04/15/15	B752	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	Philadelphia Intl (KPHL)	10:56AM WEST	01:16PM EDT	07:20:00 AM
04/14/15	B752/Z	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	Philadelphia Intl (KPHL)	01:12PM WEST	03:27PM EDT	07:15:00 AM
04/13/15	B752/Z	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	Philadelphia Intl (KPHL)	01:27PM WEST	03:51PM EDT	07:23:00 AM
04/12/15	B752/Z	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	Philadelphia Intl (KPHL)	11:01AM WEST	01:23PM EDT	07:21:00 AM
04/11/15	B752/Z	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	Philadelphia Intl (KPHL)	11:01AM WEST	01:46PM EDT	07:45:00 AM
04/10/15	B752/Z	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	Philadelphia Intl (KPHL)	11:01AM WEST	02:07PM EDT	08:06:00 AM
04/10/15	B752	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	Philadelphia Intl (KPHL)	11:01AM WEST	02:08PM EDT	08:07:00 AM
04/09/15	B752/Z	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	Philadelphia Intl (KPHL)	01:28PM WEST	04:30PM EDT	08:01:00 AM
04/09/15	B752	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	Philadelphia Intl (KPHL)	01:27PM WEST	04:28PM EDT	08:01:00 AM
04/07/15	B752/Z	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	Philadelphia Intl (KPHL)	11:01AM WEST	01:50PM EDT	07:49:00 AM
04/06/15	B752/Z	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	Philadelphia Intl (KPHL)	11:01AM WEST	01:29PM EDT	07:28:00 AM
04/05/15	B752/Z	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	Philadelphia Intl (KPHL)	12:14PM WEST	02:56PM EDT	07:41:00 AM
04/04/15	B752	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	Philadelphia Intl (KPHL)	11:05AM WEST	01:56PM EDT	07:51:00 AM
04/03/15	B752/Z	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	Philadelphia Intl (KPHL)	11:01AM WEST	01:41PM EDT	07:40:00 AM
04/02/15	B752/Z	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	Philadelphia Intl (KPHL)	10:53AM WEST	01:32PM EDT	07:39:00 AM
03/31/15	B752/Z	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	Philadelphia Intl (KPHL)	10:52AM WEST	01:12PM EDT	07:20:00 AM
03/30/15	B752/Z	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	Philadelphia Intl (KPHL)	11:03AM WEST	01:39PM EDT	07:36:00 AM
03/29/15	B752/Z	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	Philadelphia Intl (KPHL)	11:34AM WEST	01:47PM EDT	07:13:00 AM
