Date	Aircraft	Origin	Destination	Departure	Arrival	Duration
07/13/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	09:02PM EDT	08:32AM WEST (+1)	06:29:00 AM
07/12/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	09:10PM EDT	08:50AM WEST (+1)	06:39:00 AM
07/11/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	09:01PM EDT	08:28AM WEST (+1)	06:26:00 AM
07/10/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	09:19PM EDT	08:38AM WEST (+1)	06:19:00 AM
07/09/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	10:17PM EDT	10:27AM WEST (+1)	07:10:00 AM
07/08/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	09:18PM EDT	08:50AM WEST (+1)	06:32:00 AM
07/07/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	10:26PM EDT	10:01AM WEST (+1)	06:34:00 AM
07/06/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	10:03PM EDT	09:29AM WEST (+1)	06:26:00 AM
07/05/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	08:54PM EDT	08:12AM WEST (+1)	06:17:00 AM
07/04/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	09:01PM EDT	08:20AM WEST (+1)	06:19:00 AM
07/03/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	09:02PM EDT	08:07AM WEST (+1)	06:05:00 AM
07/02/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	09:18PM EDT	08:33AM WEST (+1)	06:15:00 AM
07/01/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	09:56PM EDT	09:00AM WEST (+1)	06:04:00 AM
06/30/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	11:27PM EDT	10:25AM WEST (+1)	05:58:00 AM
06/29/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	09:37PM EDT	08:40AM WEST (+1)	06:03:00 AM
06/28/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	09:01PM EDT	08:17AM WEST (+1)	06:15:00 AM
06/27/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	11:28PM EDT	10:49AM WEST (+1)	06:21:00 AM
06/26/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	09:21PM EDT	08:40AM WEST (+1)	06:18:00 AM
06/25/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	08:58PM EDT	08:07AM WEST (+1)	06:09:00 AM
06/24/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	09:00PM EDT	07:59AM WEST (+1)	05:59:00 AM
06/23/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	09:08PM EDT	11:46AM WEST (+1)	09:37:00 AM
06/22/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	09:55PM EDT	09:06AM WEST (+1)	06:11:00 AM
06/20/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	10:16PM EDT	09:53AM WEST (+1)	06:36:00 AM
06/19/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	09:19PM EDT	08:49AM WEST (+1)	06:29:00 AM
06/18/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	09:20PM EDT	08:50AM WEST (+1)	06:30:00 AM
06/17/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	10:05PM EDT	09:40AM WEST (+1)	06:35:00 AM
06/16/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	09:58PM EDT	09:41AM WEST (+1)	06:43:00 AM
06/15/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	09:48PM EDT	09:42AM WEST (+1)	06:53:00 AM
06/14/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	09:37PM EDT	08:57AM WEST (+1)	06:20:00 AM
06/13/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	10:22PM EDT	09:43AM WEST (+1)	06:21:00 AM
06/12/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	09:08PM EDT	08:39AM WEST (+1)	06:30:00 AM
06/11/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	08:59PM EDT	08:45AM WEST (+1)	06:46:00 AM
06/10/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	09:01PM EDT	08:44AM WEST (+1)	06:42:00 AM
06/09/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	08:57PM EDT	09:05AM WEST (+1)	07:08:00 AM
06/08/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	09:00PM EDT	08:51AM WEST (+1)	06:51:00 AM
06/07/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	09:07PM EDT	09:04AM WEST (+1)	06:56:00 AM
06/06/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	09:02PM EDT	08:44AM WEST (+1)	06:41:00 AM
06/05/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	09:07PM EDT	08:37AM WEST (+1)	06:30:00 AM
06/04/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	10:33PM EDT	09:59AM WEST (+1)	06:25:00 AM
06/03/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	09:08PM EDT	08:19AM WEST (+1)	06:11:00 AM
06/02/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	09:07PM EDT	08:32AM WEST (+1)	06:25:00 AM
06/01/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	09:43PM EDT	08:58AM WEST (+1)	06:15:00 AM
05/31/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	09:13PM EDT	09:11AM WEST (+1)	06:57:00 AM
05/30/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	10:02PM EDT	09:54AM WEST (+1)	06:52:00 AM
05/29/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	08:58PM EDT	08:38AM WEST (+1)	06:39:00 AM
05/28/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	09:41PM EDT	09:24AM WEST (+1)	06:42:00 AM
05/27/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	09:47PM EDT	09:32AM WEST (+1)	06:44:00 AM
05/26/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	08:54PM EDT	08:34AM WEST (+1)	06:40:00 AM
05/25/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	09:09PM EDT	08:56AM WEST (+1)	06:47:00 AM
05/24/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	09:19PM EDT	09:05AM WEST (+1)	06:46:00 AM
05/23/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	10:04PM EDT	09:33AM WEST (+1)	06:28:00 AM
05/22/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	09:10PM EDT	08:36AM WEST (+1)	06:25:00 AM
05/21/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	09:00PM EDT	08:19AM WEST (+1)	06:19:00 AM
05/20/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	11:17PM EDT	10:37AM WEST (+1)	06:20:00 AM
05/19/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	11:15PM EDT	10:45AM WEST (+1)	06:29:00 AM
05/18/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	11:33PM EDT	11:33AM WEST (+1)	06:59:00 AM
05/17/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	09:05PM EDT	08:58AM WEST (+1)	06:53:00 AM
05/16/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	09:31PM EDT	09:06AM WEST (+1)	06:35:00 AM
05/15/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	10:44PM EDT	10:19AM WEST (+1)	06:34:00 AM
05/14/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	08:59PM EDT	08:47AM WEST (+1)	06:47:00 AM
05/13/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	09:08PM EDT	08:24AM WEST (+1)	06:16:00 AM
05/12/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	09:07PM EDT	08:13AM WEST (+1)	06:06:00 AM
05/11/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	09:12PM EDT	08:41AM WEST (+1)	06:29:00 AM
05/10/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	09:41PM EDT	09:18AM WEST (+1)	06:36:00 AM
05/09/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	09:20PM EDT	08:58AM WEST (+1)	06:38:00 AM
05/08/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	09:17PM EDT	08:39AM WEST (+1)	06:22:00 AM
05/07/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	10:04PM EDT	09:12AM WEST (+1)	06:08:00 AM
05/06/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	09:56PM EDT	08:59AM WEST (+1)	06:02:00 AM
05/05/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	10:00PM EDT	09:14AM WEST (+1)	06:14:00 AM
05/04/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	08:57PM EDT	08:29AM WEST (+1)	06:31:00 AM
05/03/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	09:15PM EDT	08:30AM WEST (+1)	06:14:00 AM
05/02/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	11:47PM EDT	10:55AM WEST (+1)	06:08:00 AM
05/01/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	09:07PM EDT	08:08AM WEST (+1)	06:00:00 AM
04/30/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	09:46PM EDT	09:01AM WEST (+1)	06:15:00 AM
04/29/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	09:03PM EDT	08:11AM WEST (+1)	06:07:00 AM
04/28/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	09:06PM EDT	08:30AM WEST (+1)	06:24:00 AM
04/27/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	09:07PM EDT	08:34AM WEST (+1)	06:27:00 AM
04/26/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	09:17PM EDT	08:45AM WEST (+1)	06:28:00 AM
04/25/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	08:56PM EDT	08:16AM WEST (+1)	06:19:00 AM
04/24/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	08:59PM EDT	08:14AM WEST (+1)	06:14:00 AM
04/23/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	08:52PM EDT	08:24AM WEST (+1)	06:31:00 AM
04/22/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	08:55PM EDT	08:44AM WEST (+1)	06:48:00 AM
04/21/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	09:04PM EDT	08:45AM WEST (+1)	06:40:00 AM
04/20/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	09:29PM EDT	08:44AM WEST (+1)	06:14:00 AM
04/19/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	09:42PM EDT	09:00AM WEST (+1)	06:18:00 AM
04/18/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	08:57PM EDT	08:17AM WEST (+1)	06:19:00 AM
04/17/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	09:01PM EDT	08:31AM WEST (+1)	06:30:00 AM
04/16/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	09:08PM EDT	08:31AM WEST (+1)	06:22:00 AM
04/14/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	09:14PM EDT	08:39AM WEST (+1)	06:24:00 AM
04/13/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	11:58PM EDT	11:43AM WEST (+1)	06:44:00 AM
04/12/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	08:59PM EDT	08:32AM WEST (+1)	06:33:00 AM
04/11/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	09:59PM EDT	09:06AM WEST (+1)	06:06:00 AM
04/10/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	09:13PM EDT	08:42AM WEST (+1)	06:28:00 AM
04/09/15	B752	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	08:57PM EDT	08:18AM WEST (+1)	06:21:00 AM
04/09/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	08:57PM EDT	08:19AM WEST (+1)	06:22:00 AM
04/09/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	12:36AM EDT	11:57AM WEST (+1)	06:21:00 AM
04/09/15	B752	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	12:35AM EDT	11:58AM WEST (+1)	06:23:00 AM
04/06/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	09:03PM EDT	08:31AM WEST (+1)	06:28:00 AM
04/05/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	09:00PM EDT	08:26AM WEST (+1)	06:26:00 AM
04/04/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	11:16PM EDT	10:23AM WEST (+1)	06:07:00 AM
04/03/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	09:17PM EDT	08:46AM WEST (+1)	06:29:00 AM
04/02/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	09:06PM EDT	08:37AM WEST (+1)	06:31:00 AM
04/01/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	09:16PM EDT	08:49AM WEST (+1)	06:32:00 AM
03/30/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	08:54PM EDT	08:25AM WEST (+1)	06:31:00 AM
03/29/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	09:33PM EDT	09:05AM WEST (+1)	06:32:00 AM
03/28/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	09:24PM EDT	08:53AM WEST (+1)	06:29:00 AM
