Date	Aircraft	Origin	Destination	Departure	Arrival	Duration
07/26/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	10:33PM EDT	09:52AM WEST (+1)	06:19:00 AM
07/25/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	09:08PM EDT	08:38AM WEST (+1)	06:29:00 AM
07/24/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	09:35PM EDT	08:42AM WEST (+1)	06:07:00 AM
07/23/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	09:09PM EDT	08:17AM WEST (+1)	06:07:00 AM
07/22/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	11:27PM EDT	10:28AM WEST (+1)	06:01:00 AM
07/21/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	09:25PM EDT	08:58AM WEST (+1)	06:33:00 AM
07/20/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	09:01PM EDT	08:25AM WEST (+1)	06:24:00 AM
07/19/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	10:44PM EDT	10:09AM WEST (+1)	06:25:00 AM
07/18/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	09:14PM EDT	08:47AM WEST (+1)	06:33:00 AM
07/17/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	09:31PM EDT	08:48AM WEST (+1)	06:17:00 AM
07/16/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	11:03PM EDT	10:26AM WEST (+1)	06:23:00 AM
07/15/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	09:43PM EDT	08:49AM WEST (+1)	06:05:00 AM
07/14/15	B752/Z	Philadelphia Intl (KPHL)	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	09:36PM EDT	09:03AM WEST (+1)	06:26:00 AM
